"LAI","h3","d","wL","P50","pxmin","pxgs50","slope"
1,1,0.1,0.421809447583867,-0.0870375412543876,-0.0930036126491252,-0.0772361695452607,0.457609627404347
3,1,0.1,0.392011480899722,-0.0870375412543876,-0.1181622953893,-0.0841399521354637,0.544297805546107
1,25,0.1,0.612806807503696,-0.0870375412543876,-0.021378977075483,-0.0212419238864249,0.0782355558234705
3,25,0.1,0.529584554006085,-0.0870375412543876,-0.039514898402614,-0.0387587953075759,0.174842171573774
1,100,0.1,0.741380155734532,-0.0870375412543876,-0.00937945370115221,-0.00936980954107048,0.0292866003230356
3,100,0.1,0.637318847571183,-0.0870375412543876,-0.0180641046662486,-0.0179784232318618,0.0632719081448599
1,1,0.2,0.34305289289784,-0.174075082508775,-0.217910439549187,-0.163026425715807,0.524328476211977
3,1,0.2,0.323565611554991,-0.174075082508775,-0.263389167496095,-0.17084105000133,0.581883189818124
1,25,0.2,0.478209769960796,-0.174075082508775,-0.0617900058119257,-0.0605769116981598,0.180371256218829
3,25,0.2,0.416724891718931,-0.174075082508775,-0.108137379798,-0.102826959032142,0.308148483871414
1,100,0.2,0.576128204222385,-0.174075082508775,-0.0280057841086833,-0.0278036452400733,0.0809145486733073
3,100,0.2,0.496706488153119,-0.174075082508775,-0.0527052028521944,-0.0518622527961388,0.1537809875913
1,1,0.3,0.305437490359556,-0.261112623763163,-0.352708008035724,-0.248730537727791,0.554923757760229
3,1,0.3,0.290114144252667,-0.261112623763163,-0.416996930693915,-0.257484557969501,0.599768930133657
1,25,0.3,0.415150936921347,-0.261112623763163,-0.112031311890808,-0.108417884911868,0.265509390816644
3,25,0.3,0.364131195274352,-0.261112623763163,-0.189233798217914,-0.174173710468188,0.391772459321393
1,100,0.3,0.497994233795802,-0.261112623763163,-0.0523448766460199,-0.0516185655347149,0.137884126952619
3,100,0.3,0.430690138326781,-0.261112623763163,-0.0963050834555533,-0.0937296775901011,0.23477743276232
1,1,0.4,0.28178356847461,-0.34815016501755,-0.493486393007138,-0.334290207254452,0.574027575474711
3,1,0.4,0.268806643465392,-0.34815016501755,-0.575755072655071,-0.344072271695164,0.611164472058219
1,25,0.4,0.37638989753487,-0.34815016501755,-0.168425382311615,-0.160947774593585,0.333054376464892
3,25,0.4,0.331752393073843,-0.34815016501755,-0.278012593256274,-0.247964506153759,0.450491487986075
